recipient,type,in_gate,contact_email,contact_page_url,source_url,confidence,notes
hal,org,no,sayashk@princeton.edu,https://hal.cs.princeton.edu,https://csml.princeton.edu/events/workshop-responsible-and-open-foundation-models,medium,ICLR 2026 HAL paper contact line is {sayashk arvindn}@princeton.edu; email verified on Princeton CSML page as Sayash Kapoor's contact; no contact email on HAL site itself
hfoai,org,no,press@huggingface.co,https://huggingface.co,https://news.futunn.com/en/post/49056670/digitalocean-launches-strategic-partnership-with-hugging-face,medium,HF Media contact (Brigitte Tousignant) in DigitalOcean x Hugging Face Business Wire release; third-party host of joint company release
humane,org,yes,info@humane-intelligence.org,https://humane-intelligence.org/,https://humane-intelligence.org/,high,General contact email published on org homepage (site renders it as info [at] humane-intelligence [dot] org)
irregular,org,yes,itai@tellny.com,https://www.irregular.com/privacy-policy,https://www.vcaonline.com/news/2025091718/irregular-raises-80-million-to-set-the-security-standards-for-frontier-ai/,medium,Designated media contact (TellNY PR agency) in Irregular's own $80M funding release; official privacy policy lists privacy@irregular.com but no general contact email found on site
metr,org,yes,vivaria@metr.org,https://github.com/METR/vivaria,https://github.com/METR/vivaria,high,Contact us email in official METR GitHub README; transition-to-Inspect section also routes questions to vivaria@metr.org
msft,org,yes,,https://news.microsoft.com/microsoft-public-relations-contacts/,https://news.microsoft.com/microsoft-public-relations-contacts/,low,Microsoft PR contacts page lists general media inquiries via We. Communications agency with no public email; AI Red Team publishes no dedicated contact email
mlcommons,org,yes,press@mlcommons.org,https://mlcommons.org/2026/04/mlperf-inference-v6-0-results/,https://mlcommons.org/2026/04/mlperf-inference-v6-0-results/,high,Press Inquiries email in official MLCommons release; membership@mlcommons.org also listed for general inquiries
nemesys,org,yes,research@nemesysinsights.com,https://www.nemesysinsights.com/_files/ugd/4fc9ca_791defcc755c45a59da69dd441266a37.pdf,https://www.nemesysinsights.com/_files/ugd/4fc9ca_791defcc755c45a59da69dd441266a37.pdf,high,Research/project-team contact email published on org's own site (ICS CTF research study page); no general contact page found
palisade,org,yes,,https://palisaderesearch.org/contact,https://palisaderesearch.org/contact,low,No email address retrievable: official contact page renders as form-only when fetched; indexed text shows it lists media/donations/general-inquiry emails but the crawl redacts the addresses. No address invented.
rand,org,yes,media@rand.org,https://www.rand.org/about/contacts/keycontacts.html,https://www.rand.org/about/contacts.html,medium,RAND Office of Media Relations. Email appears in RAND-issued press releases (e.g. Matheny CEO announcement) and RAND key-contacts page lists Media Inquiries email. Email corroborated across multiple RAND-issued sources; page not fetched this run.
redwood,org,yes,,https://www.redwoodresearch.org/careers,https://www.redwoodresearch.org/careers,low,No public contact email on redwoodresearch.org; site is minimal and careers page is the main public channel. No address invented.
saferai,org,yes,contact@safer-ai.org,https://www.safer-ai.org/about,https://www.safer-ai.org/about,medium,Published on official site: about page partnerships section ('reach out about partnerships at contact@safer-ai.org') and cookie policy ('contact us at contact@safer-ai.org'). About page fetched this run.
scale,org,yes,press@scale.com,https://scale.com,https://www.intelcapital.com/scale-ai-raises-1-billion-series-f-to-push-the-frontier-of-ai-data/,medium,"Scale's official press-release contact, verified on this fetched page (<press@scale.com> listed under Contacts). Also the listed contact on Scale press releases incl. the deSouza CEO announcement."
securebio,org,yes,detection-inquiries@securebio.org,https://securebio.org/blog/nao-is-now-securebio-detection/,https://securebio.substack.com/p/the-nucleic-acid-observatory-is-now,medium,"SecureBio Detection's published contact from their official transition announcement (mirrored on securebio.org). Org-level general email is not published; other site emails were redacted in crawls. Not a press inbox, but the org's published public channel."
transluce,org,yes,,https://transluce.org/about,https://transluce.org/about,low,No org-level public email on transluce.org; about page offers join/donate/get-involved links only. A co-founder personal email appears in their user-awareness paper but is not a public org channel.
ukaisi,org,yes,,https://www.aisi.gov.uk,https://www.aisi.gov.uk,low,No public email found for the UK AI Security Institute. Official site is aisi.gov.uk; public inquiries route through DSIT/GOV.UK contact channels. No address invented.
caisi,org,yes,usaisi@nist.gov,https://www.nist.gov/caisi/frontier-research-mitigating-risks-synthetic-content-call-action,https://www.nist.gov/caisi/frontier-research-mitigating-risks-synthetic-content-call-action,medium,"NIST-published contact: 'For press inquires, please reach out to usaisi@nist.gov' (NIST fact sheet) and 'usaisi [at] nist.gov' in CAISI call-to-action on nist.gov. Email corroborated on official NIST pages; pages not fetched this run."
gleave,individual,yes,media@far.ai,https://far.ai,https://aapnews.aap.com.au/aapreleases/cision20260729AE15311,medium,"FAR.AI's published press contact (own release, syndicated SOURCE FAR.AI); Gleave is FAR.AI co-founder."
radford,individual,yes,press@thinkingmachines.ai,https://thinkingmachines.ai/news/,https://thinkingmachines.ai/news/,medium,Employer's published press/media contact; no personal public email found for Radford (Thinking Machines advisor).
wang,individual,yes,press@scale.com,https://scale.com,https://www.intelcapital.com/scale-ai-raises-1-billion-series-f-to-push-the-frontier-of-ai-data/,medium,Scale's published press contact; Wang was Scale CEO (now at Meta).
anthropic-employees,individual,yes,press@anthropic.com,https://www.globenewswire.com/news-release/2026/09/14/3361574/0/en/cipher-digital-fluidstack-and-anthropic-commit-10-million-to-repair-and-expand-colorado-city-s-water-system.html,https://www.globenewswire.com/news-release/2026/09/14/3361574/0/en/cipher-digital-fluidstack-and-anthropic-commit-10-million-to-repair-and-expand-colorado-city-s-water-system.html,medium,Anthropic's published media contact (Sept 14 2026 joint release); group routed via press.
mann,individual,yes,press@anthropic.com,https://www.anthropic.com,https://www.globenewswire.com/news-release/2026/09/14/3361574/0/en/cipher-digital-fluidstack-and-anthropic-commit-10-million-to-repair-and-expand-colorado-city-s-water-system.html,medium,Anthropic's published media contact (Sept 2026 joint release); Mann is an Anthropic co-founder.
delangue,individual,yes,press@huggingface.co,https://huggingface.co,https://news.futunn.com/en/post/49056670/digitalocean-launches-strategic-partnership-with-hugging-face,medium,HF media contact in joint DigitalOcean/HF release; Delangue is Hugging Face CEO.
stosz,individual,yes,usaisi@nist.gov,https://www.nist.gov/caisi,https://www.nist.gov/caisi/frontier-research-mitigating-risks-synthetic-content-call-action,medium,NIST-published press contact for CAISI; Stosz leads policy at the US AI Safety Institute.
hendrycks,individual,yes,media@safe.ai,https://safe.ai/about/media,https://safe.ai/about/media,high,CAIS Media & Press page; Hendrycks is CAIS executive director.
farhi,individual,yes,press@openai.com,https://openai.com,https://www.pa.gov/governor/newsroom/2024-press-releases/shapiro-administration-and-openai-launch-first-in-the-nation-gen,medium,Former OpenAI research manager (left 2025); routed via OpenAI's published media contact.
moskovitz,individual,yes,media@openphilanthropy.org,https://www.openphilanthropy.org/press-kit/,https://www.openphilanthropy.org/press-kit/,medium,"Open Philanthropy's published media contact (press kit); Moskovitz is Open Phil co-founder. Address from search-crawl text, not live fetch."
lab-employees,individual,yes,,,,low,"Unnamed frontier-lab employees/alumni; no defined organization, no routable public contact."
karnofsky,individual,yes,,,,low,No public personal contact located for Karnofsky; Emergent Ventures/Mercatus contact not identified. No address invented.
tallinn,individual,yes,policy@futureoflife.org,https://futureoflife.org,https://futureoflife.org/wp-content/uploads/2024/11/FLI-EU-AIA-Scientific-Panel-Submission.pdf,medium,"FLI's published policy contact from the organization's own submission; Tallinn is FLI co-founder. Address from search-crawl text, not live fetch."
hilton,individual,yes,press@anthropic.com,https://www.anthropic.com,https://www.globenewswire.com/news-release/2026/09/14/3361574/0/en/cipher-digital-fluidstack-and-anthropic-commit-10-million-to-repair-and-expand-colorado-city-s-water-system.html,medium,Anthropic's published media contact (Sept 2026 joint release); Hilton is an Anthropic researcher.
steinhardt,individual,yes,,https://transluce.org/about,https://transluce.org/about,low,No published email; Berkeley EECS publications page lists no contact. Steinhardt is CEO of Transluce (site has no org email).
droege,individual,yes,press@scale.com,https://scale.com,https://www.intelcapital.com/scale-ai-raises-1-billion-series-f-to-push-the-frontier-of-ai-data/,medium,Scale's published press contact; Droege is Scale's interim CEO.
ladish,individual,yes,jeffrey@jladish.com,https://jeffreyladish.com/dateme,https://jeffreyladish.com/dateme,high,Personally published on his own site ('Open contact' dating page); 2025 update confirms he founded Palisade Research.
mackenzie-scott,individual,yes,,https://yieldgiving.com/inquiries/,https://yieldgiving.com/inquiries/,low,"Yield Giving's inquiries page declines unsolicited messages, events, and media; no public email published. terms@yieldgiving.com is for site-terms questions only, not outreach."
mascorro,individual,yes,m@mascobot.com,https://www.mascobot.com/investing,https://www.mascobot.com/investing,high,Personally published on his investing page ('If you want to chat...').
mccormick,individual,yes,hello@halcyonfutures.org,https://halcyonfutures.org/,https://halcyonfutures.org/,medium,Published contact on Halcyon Futures homepage (McCormick is its founder); org routing fallback.
brundage,individual,yes,miles.brundage@averi.org,https://www.averi.org/ourwork/frontier-ai-auditing,https://www.averi.org/ourwork/frontier-ai-auditing,high,Named corresponding author with email on Jan 2026 AVERI paper 'Frontier AI Auditing'; personally published current work email.
chowdhury,individual,yes,press@thinkingmachines.ai,https://thinkingmachines.ai/news/,https://thinkingmachines.ai/news/,medium,Employer's published press/media contact; Chowdhury joined Thinking Machines 2026-09-14; no personal public email found.
openai-employees,individual,yes,press@openai.com,https://www.pa.gov/governor/newsroom/2024-press-releases/shapiro-administration-and-openai-launch-first-in-the-nation-gen,https://www.pa.gov/governor/newsroom/2024-press-releases/shapiro-administration-and-openai-launch-first-in-the-nation-gen,medium,OpenAI's published media contact per PA governor press release; group routed via press.
christiano,individual,yes,,,https://paulfchristiano.com/,low,Personal site lists no contact info; no ARC or CAISI/NIST published contact email found for him.
mattson,individual,yes,info@mlcommons.org,https://mlcommons.org/2026/04/mlperf-inference-v6-0-results/,https://mlcommons.org/2026/04/mlperf-inference-v6-0-results/,medium,MLCommons published general-inquiries contact on press page (Mattson is MLCommons president); org routing fallback.
dattani,individual,yes,press@aiuc.com,https://www.prnewswire.com/news-releases/aiuc-raises-40m-series-a-from-ribbit--first-harmonic-to-build-confidence-infrastructure-for-frontier-ai-302879036.html,https://www.prnewswire.com/news-releases/aiuc-raises-40m-series-a-from-ribbit--first-harmonic-to-build-confidence-infrastructure-for-frontier-ai-302879036.html,medium,AIUC press contact from the company's Series A release naming cofounder Rajiv Dattani; org routing fallback.
kolter,individual,yes,zkolter@cs.cmu.edu,https://csd.cmu.edu/people/faculty/zico-kolter,https://csd.cmu.edu/people/faculty/zico-kolter,high,Official CMU faculty page lists email.
